WORD,显示文字,,,,,,
DRAWBKBMP,设置背景图片,,,,,,
DRAWGBK,"以C1至C2的渐变色填充背景,D指定渐变方向,0表示从左到右,1表示从上到下",,,,,,
DRAWBARLINE,"在L1到H1之间绘制柱线,在O1位置绘制左侧横线,在C1位置绘制右侧横线",,,,,,
SCALE,返回主动买占总成交量的比例,,,,,,
DRAWBMP,"满足条件COND时,输出图片IMAGE",,,,,,
REFLINE,设定指标参考线,,,,,,
ALIGN0,"分别表示文字左对齐,居中对齐,右对齐",,,,,,
VALIGN0,"分别表示文字上对齐,居中对齐,下对齐",,,,,,
PARTLINE1,"条件COND满足时,用直线段连接DATA各点",,,,,,
DRAWNUMBER1,当条件满足时在DATA位置写数字NUMBER,,,,,,
VERTLINE1,"条件COND满足时,画垂直线",,,,,,
STICKLINE1,"当C条件满足时,从P1画到P2柱线,Width为宽度,若Empty不为0,则为空心柱",,,,,,
POLYLINE1,"条件满足时,用折线连接DATA的值",,,,,,
FILLRGN1,"当条件满足时,填充DATA1及DATA2之间的区域",,,,,,
DRAWSL1,"当条件满足时,在DATA数据处以每个周期相差SLOPE个价位作为斜率画LEN个周期长的线段",,,,,,
#IMPORT,函数连用,,,,,,
CHECKSIG_MIN,设置信号确认与复核的指令价方式（逐分钟回测）,,,,,,
VOLUMESTICK,"画柱线,K线为阳线为红色,K线为阴线为青色",,,,,,
VOLSTICK,"画柱线,K线为阳线为红色,K线为阴线为青色",,,,,,
SOLID,画实心柱线,,,,,,
SETMODRUNTYPE,设置模组运行类型,,,,,,
SETMOVEOPIPRICE,"设置模组换月移仓的委托方式,PRICE为价格方式",,,,,,
MULTSIG_MIN,设置一根k线多信号的指令价方式（逐分钟回测）,,,,,,
DAYTRADE,日内交易函数,,,,,,
DAYTRADE1,日内交易函数,,,,,,
TRADE_AGAIN,"含有该函数的非过滤模型中,同一指令行可以连续出N个信号",,,,,,
IF,"若满足条件X则取A,否则取B",,,,,,
MONEYREAL,返回当前模组子账户实际权益,,,,,,
COLORSTICK,"画柱线,大于0为红色,小于0为青色",,,,,,
SETQUOTACCOUNT,设置模型加密输出使用者的文华行情账号,,,,,,
SETTRADEACCOUNT,设置模型加密输出使用者的文华资金账号,,,,,,
SETEXPIREDATE,设置加密模型的使用有效期的到期时间,,,,,,
DRAWKLINE1,"以H1为最高价,L1为最低价,O1为开盘价,C1为收盘价绘制K线",,,,,,
KLINESIG,判断当根K线上最后一个固定的信号,,,,,,
REFSIG_PLACE,判断从当根K线开始倒数第N个固定的Sig信号所在K线的位置,,,,,,
REFSIG_PRICE,返回从当根K线开始倒数第N个固定的Sig信号的信号价位,,,,,,
DRAWLINE1,"满足条件C1时及该K线后最近一个满足C2时从P1向P2画线。EXP为画线0不延伸,EXP不为0画线延伸",,,,,,
REFSIG_PRICE1,返回从当根K线开始倒数第N个固定的Sig信号的委托价格,,,,,,
REFSIG_PRICE2,返回从当根K线开始倒数第N个固定的Sig信号的成交价格,,,,,,
#CALL,"[CODE,FORMULA] AS VAR引用CODE合约的指标FORMULA的数据",,,,,,
NEW,取得TICK图该笔TICK的最新价,,,,,,
TICK_VOL,取得TICK图的成交量,,,,,,
TICK_OPI,取得TICK图的持仓量,,,,,,
TICK_SCALE,取得TICK图该笔TICK是否为主动买,,,,,,
ASK1,取得TICK图该笔TICK的卖一价,,,,,,
ASK2,取得TICK图该笔TICK的卖二价,,,,,,
ASK3,取得TICK图该笔TICK的卖三价,,,,,,
ASK4,取得TICK图该笔TICK的卖四价,,,,,,
ASK5,取得TICK图该笔TICK的卖五价,,,,,,
BID1,取得TICK图该笔TICK的买一价,,,,,,
BID2,取得TICK图该笔TICK的买二价,,,,,,
BID3,取得TICK图该笔TICK的买三价,,,,,,
BID4,取得TICK图该笔TICK的买四价,,,,,,
BID5,取得TICK图该笔TICK的买五价,,,,,,
ASK1VOL,取得TICK图该笔TICK的卖一量,,,,,,
ASK2VOL,取得TICK图该笔TICK的卖二量,,,,,,
ASK3VOL,取得TICK图该笔TICK的卖三量,,,,,,
ASK4VOL,取得TICK图该笔TICK的卖四量,,,,,,
ASK5VOL,取得TICK图该笔TICK的卖五量,,,,,,
BID1VOL,取得TICK图该笔TICK的买一量,,,,,,
BID2VOL,取得TICK图该笔TICK的买二量,,,,,,
BID3VOL,取得TICK图该笔TICK的买三量,,,,,,
BID4VOL,取得TICK图该笔TICK的买四量,,,,,,
BID5VOL,取得TICK图该笔TICK的买五量,,,,,,
RISING,"上涨趋势返回1,下跌趋势返回0,平盘返回空值",,,,,,
CLOSESEC,"返回K线开始时间距离闭市前的时间（单位：秒）,方便闭市前及时平仓",,,,,,
CLOSESEC1,"返回当前时间距离闭市前的时间（单位：秒）,方便闭市前及时平仓",,,,,,
DEF_TICKDATA,"定义五档TICK数据区,Type为1,N为笔数；Type为0,N为秒数",,,,,,
BIDVOL,取得TICK图所定义数据区主动买成交量的和,,,,,,
ASKVOL,取得TICK图所定义数据区主动卖成交量的和,,,,,,
BIDBIGCOUNT,取得TICK图所定义数据区主动买大单次数的和,,,,,,
ASKBIGCOUNT,取得TICK图所定义数据区主动卖大单次数的和,,,,,,
BIDBIGTOTVOL,取得TICK图所定义数据区主动买大单成交量的和,,,,,,
ASKBIGTOTVOL,取得TICK图所定义数据区主动卖大单成交量的和,,,,,,
BKVOLUME,取得TICK图所定义数据区买开成交量的和,,,,,,
SKVOLUME,取得TICK图所定义数据区卖开成交量的和,,,,,,
BPVOLUME,取得TICK图所定义数据区买平成交量的和,,,,,,
SPVOLUME,取得TICK图所定义数据区卖平成交量的和,,,,,,
BKBIGCOUNT,取得TICK图所定义数据区买开大单成交次数的和,,,,,,
SKBIGCOUNT,取得TICK图所定义数据区卖开大单成交次数的和,,,,,,
BPBIGCOUNT,取得TICK图所定义数据区买平大单成交次数的和,,,,,,
SPBIGCOUNT,取得TICK图所定义数据区卖平大单成交次数的和,,,,,,
BKBIGTOTVOL,取得TICK图所定义数据区买开大单成交量的和,,,,,,
SKBIGTOTVOL,取得TICK图所定义数据区卖开大单成交量的和,,,,,,
BPBIGTOTVOL,取得TICK图所定义数据区买平大单成交量的和,,,,,,
SPBIGTOTVOL,取得TICK图所定义数据区卖平大单成交量的和,,,,,,
SETBIGVOL,设置TICK图所定义数据区大单阀值,,,,,,
TRADE_OTHER,指定CODE合约为交易合约,,,,,,
CLOSEKLINE_MIN,设置K线提前N分钟走完,,,,,,
CLOSEKLINE,设置K线提前N秒走完,,,,,,
MAX1,取A...P中的最大值（支持2-16个参数进行比较）,,,,,,
MIN1,取A...P中的最小值（支持2-16个参数进行比较）,,,,,,
PANZHENG,"判断行情是否盘整,返回1时表示盘整,返回0时表示非盘整",,,,,,
DASH,画虚线,,,,,,
DASHDOT,画点虚线,,,,,,
DASHDOTDOT,画双点虚线,,,,,,
BKVOL1,返回模型当前的多头理论持仓,,,,,,
SKVOL1,返回模型当前的空头理论持仓,,,,,,
DRAWKLINE2,"绘制K线,黑色背景下,盘整时K线显示为黄色；白色背景下,盘整时K线显示为蓝色",,,,,,
ISNULL,"判断空值,如果N为空值返回1,否则返回0",,,,,,
MAXBKVOL,相邻两次多头持仓为0之间的多头最大持仓手数,,,,,,
MAXBKVOL,相邻两次空头持仓为0之间的空头最大持仓手数,,,,,,
WEEKTRADE,周内交易函数,,,,,,
MONTHTRADE,月内交易函数,,,,,,
QUARTERTRADE,季内交易函数,,,,,,
YEARTRADE,年内交易函数,,,,,,
INITMONEY,返回模组初次加载时的起始资金,,,,,,
ROUND,对N指定M位小数进行四舍五入,,,,,,
ISLASTBAR,"判断是否是最后一个K线,如果为最后一根K线返回1,否则返回0",,,,,,
CHECKSIG,"设置信号确认与复核的指令价方式（TICK逐笔回测,可设置回测精度）",,,,,,
MULTSIG,"设置一根k线多信号的指令价方式（TICK逐笔回测,可设置回测精度）,",,,,,,
SETALLSIGPRICETYPE,设置模型中所有信号的委托方式,,,,,,
NORMPDF,返回参数为MU和SIGMA的正态分布密度函数在X处的值,,,,,,
QUARTER,取得某周期的季度数,,,,,,
LASTSIGGROUP,判断最近一个信号所在的分组,,,,,,
TNUMSEQWIN,判断持续赢利的次数,,,,,,
TNUMSEQLOSS,判断持续亏损的次数,,,,,,
GROUP,判断分组的组别,,,,,,
TSEQWIN,判断最大连续赢利额,,,,,,
TSEQLOSS,判断最大连续亏损额,,,,,,
